Journal	Title	Year
Physical review letters	Activities and sensitivities in Boolean network models	2004
International journal of neural systems	On construction of stochastic genetic networks based on gene expression sequences	2005
Applied Soft Computing	Soft computing in medicine	2009
Genetica	Inferring the skeleton cell cycle regulatory network of malaria parasite using comparative genomic and variational Bayesian approaches	2008
Computational Intelligence Methods for Bioinformatics and Biostatistics	An Information Theoretic Approach to Reverse Engineering of Regulatory Gene Networks from Time--Course Data	2010
Arxiv preprint arXiv:0707.0026	Introducing a Probabilistic Structure on Sequential Dynamical Systems, Simulation and Reduction of Probabilistic Sequential Networks	2007
Constraints	Modeling biological networks by action languages via answer set programming	2008
Briefings in bioinformatics	Computational methods for discovering gene networks from expression data	2009
Nonlinear Analysis: Hybrid Systems	Dynamic information handling in continuous time Boolean Network model of gene interactions	2008
Journal of Biomedical Informatics	The use of logic relationships to model colon cancer gene expression networks with mRNA microarray data	2008
Systems Biology, IET	Reverse engineering of gene regulatory networks	2007
Systems Biology, IET	Systems-level insights into cellular regulation: inferring, analysing, and modelling intracellular networks	2007
Systems Biology, IET	Distribution and enumeration of attractors in probabilistic boolean networks	2009
Systems Biology, IET	Linear matrix inequalities approach to reconstruction of biological networks	2007
Systems Biology, IET	Inference of Boolean networks under constraint on bidirectional gene relationships	2009
Systems Biology, IET	Discrete dynamical system modelling for gene regulatory networks of 5-hydroxymethylfurfural tolerance for ethanologenic yeast	2009
Systems Biology, IET	Optimal control policy for probabilistic Boolean networks with hard constraints	2009
Systems Biology, IET	Modelling codependence in biological systems	2007
Systems Biology, IET	Robust control of uncertain context-sensitive probabilistic Boolean networks	2009
Current Bioinformatics	On the Comparison of Classifiers for Microarray Data	2010
Current Bioinformatics	Intervention in probabilistic gene regulatory networks	2006
Arxiv preprint arXiv:0708.2294	A probabilistic regulatory network for the human immune system	2007
Chaos: An Interdisciplinary Journal of Nonlinear Science	An adjustable aperiodic model class of genomic interactions using continuous time Boolean networks (Boolean delay equations)	2003
Arxiv preprint math/0702716	Simulation of Probabilistic Sequential Systems	2007
Operations Research	Bioinformatics and management science: Some common tools and techniques	2004
. http://bonsai. ims. u-tokyo. ac. jp/imoto/imoto\_biometrics	 	2003
Fuzzy Systems, IEEE Transactions on	A novel approach for mining and fuzzy simulation of subnetworks from large biomolecular networks	2007
Fuzzy Systems, IEEE Transactions on	Inferring gene regulatory networks from expression data by discovering fuzzy dependency relationships	2008
BMC bioinformatics	New components of the Dictyostelium PKA pathway revealed by Bayesian analysis of expression data	2010
BMC bioinformatics	Current approaches to gene regulatory network modelling	2007
BMC bioinformatics	Transcriptional regulatory network refinement and quantification through kinetic modeling, gene expression microarray data and information theory	2007
BMC bioinformatics	A service-oriented architecture for integrating the modeling and formal verification of genetic regulatory networks	2009
BMC bioinformatics	A copula method for modeling directional dependence of genes	2008
BMC bioinformatics	Bayesian Orthogonal Least Squares(BOLS) algorithm for reverse engineering of gene regulatory networks	2007
BMC bioinformatics	TimeDelay-ARACNE: Reverse engineering of gene networks from time-course data by an information theoretic approach	2010
BMC bioinformatics	Boolean networks using the chi-square test for inferring large-scale gene regulatory networks	2007
BMC bioinformatics	Discovery of time-delayed gene regulatory networks based on temporal gene expression profiling	2006
BMC bioinformatics	Inferring transcriptional compensation interactions in yeast via stepwise structure equation modeling	2008
BMC bioinformatics	Learning transcriptional regulatory networks from high throughput gene expression data using continuous three-way mutual information	2008
