Journal	TotalPub
Physical review letters	 1
International journal of neural systems	 1
Applied Soft Computing	 1
Genetica	 1
Computational Intelligence Methods for Bioinformatics and Biostatistics	 1
Arxiv preprint arXiv:0707.0026	 1
Constraints	 1
Briefings in bioinformatics	 1
Nonlinear Analysis: Hybrid Systems	 1
Journal of Biomedical Informatics	 1
Systems Biology, IET	 9
Current Bioinformatics	 2
Arxiv preprint arXiv:0708.2294	 1
Chaos: An Interdisciplinary Journal of Nonlinear Science	 1
Arxiv preprint math/0702716	 1
Operations Research	 1
. http://bonsai. ims. u-tokyo. ac. jp/imoto/imoto\_biometrics	 1
Fuzzy Systems, IEEE Transactions on	 2
BMC bioinformatics	 13
Current opinion in biotechnology	 1
Predictive toxicology	 1
Information Sciences	 1
PloS one	 4
EURASIP Journal on Bioinformatics and Systems Biology	 15
Journal of Computational Biology	 1
Electrophoresis	 1
Current pharmaceutical design	 1
BioSystems Rev	 1
Biotechnol. Prog	 1
Fuzzy Logic	 1
Machine Learning	 1
New Mathematics and Natural Computation	 1
Data Mining and Knowledge Management	 1
Signal Processing, IEEE Transactions on	 6
IEEE IEEE/ACM Transactions on Computational Biology and Bioinformatics	 1
Computational Biology and Bioinformatics, IEEE/ACM Transactions on	 1
Methods of Microarray Data Analysis V	 1
Journal of Integrative Bioinformatics	 1
Bioinformatics for Systems Biology	 1
Genomics	 1
Biotechnology Journal	 1
BMC genomics	 1
Algorithms for Molecular Biology	 1
Bioinformatics Research and Applications	 1
Algebraic Biology	 2
Biosystems	 2
Computer-Aided Design of Integrated Circuits and Systems, IEEE Transactions on	 1
Handbook of Research on Systems Biology Applications in Medicine	 1
Selected Topics in Signal Processing, IEEE Journal of	 3
Annals of Operations Research	 1
Computer and Information Sciences--ISCIS 2006	 1
Molecular cancer therapeutics	 1
Philosophical Transactions of the Royal Society B: Biological Sciences	 1
Plant systems biology	 1
Transactions on Computational Systems Biology V	 1
Computational Science and Its Applications--ICCSA 2005	 1
Current Genomics	 8
Nonlinear Analysis	 1
Physica A: Statistical Mechanics and its Applications	 4
EURASIP Journal on Advances in Signal Processing	 1
Signal Processing Magazine, IEEE	 3
IEICE TRANSACTIONS on Information and Systems	 1
Knowledge Exploration in Life Science Informatics	 1
Bioinformatics Research and Development	 1
Arxiv preprint arXiv:0708.1500	 1
Systems Biology for Signaling Networks	 1
Molecular analysis and genome discovery	 1
Bioinformatics and Biology Insights	 1
Biochemistry	 1
Geometric and Algebraic Methods in Statistics (eds. P. Gibilisco, E. Riccomagno, MP Rogantin and HP Wynn), Cambridge University Press, Cambridge (forthcoming)	 1
Arxiv preprint math/0507030	 1
Rhode Island, Poster and Proceedings of GENSIPS	 1
ALGEBRAIC AND GEOMETRIC METHODS IN STATISTICS	 1
GENOME INFORMATICS SERIES	 3
Machine learning	 1
Molecular Analysis and Genome Discovery	 1
Physical Review E, Statistical, non-linear, and soft matter physics	 1
Journal of Theoretical Biology	 2
International journal of data mining and bioinformatics	 1
Advances in Bioinformatics and Computational Biology	 1
Lecture Notes-Monograph Series	 1
Briefings in Functional Genomics	 1
Festschrift in Honor of Jaakko Astola on the Occasion of his 60th Birthday, Tampere International Center for Signal Processing, TICSP Series	 1
networks	 1
Microbiology and Molecular Biology Reviews	 1
BMC systems biology	 5
Source code for biology and medicine	 1
Arxiv preprint arXiv:1001.0063	 1
Bulletin of Mathematical Biology	 1
International Journal of Functional Informatics and Personalised Medicine	 1
